Notify: Failed to enable the Dynamic Filter API due to an incorrect version number, 12.53.0.360.	[MsgId: MMSG-56943]
Notify: A Network Virtualization Emulation instance has been created.	[MsgId: MMSG-56967]
Error: CCI compilation error -c:\users\751377\appdata\local\temp\brr_d1x.276\global_dir\125086735\pre_cci.c: Action.c:43: error: syntax error; found `web_image' expecting `;'.	[MsgId: MERR-19799]
Error: CCI compilation error -c:\users\751377\appdata\local\temp\brr_d1x.276\global_dir\125086735\pre_cci.c: Action.c:49: error: syntax error; found `lr_start_transaction' expecting `;'.	[MsgId: MERR-19799]
Error: CCI compilation error -c:\users\751377\appdata\local\temp\brr_d1x.276\global_dir\125086735\pre_cci.c: Action.c:50: error: syntax error; found `web_link' expecting `;'.	[MsgId: MERR-19799]
Error: CCI compilation error -c:\users\751377\appdata\local\temp\brr_d1x.276\global_dir\125086735\pre_cci.c: Action.c:62: error: syntax error; found `lr_start_transaction' expecting `;'.	[MsgId: MERR-19799]
Error: CCI compilation error -c:\users\751377\appdata\local\temp\brr_d1x.276\global_dir\125086735\pre_cci.c: Action.c:64: error: syntax error; found `web_image' expecting `;'.	[MsgId: MERR-19799]
Error: CCI compilation error -c:\users\751377\appdata\local\temp\brr_d1x.276\global_dir\125086735\pre_cci.c: Action.c:72: error: syntax error; found `return' expecting `;'.	[MsgId: MERR-19799]
Error: CCI compilation error -c:\users\751377\appdata\local\temp\brr_d1x.276\global_dir\125086735\pre_cci.c: c:\\users\\751377\\appdata\\local\\temp\\brr_d1x.276\\global_dir\\125086735\\combined_WebHttpHtml_NV_Trial_1.c:6: error: 6 errors, not writing pre_cci.ci.	[MsgId: MERR-19799]
Error: Vuser compilation failed. Please set CCIDebug to Off in CCI section of mdrv.dat file.	[MsgId: MERR-19797]
Warning: Extension cciext.dll reports error -19797 on call to function ExtPerProcessInitialize	[MsgId: MWAR-10485]
Error: Thread Context: Call to service of the driver failed, reason - thread context wasn't initialized on this thread.	[MsgId: MERR-10176]
